Year,Month,Value
1999,1,40.575598702568115
1999,2,65.18216517084004
1999,3,63.08944828375294
1999,4,81.85345184881479
1999,5,48.081737161497465
1999,6,24.48774083149716
1999,7,12.416173555739386
1999,8,7.119302709210353
1999,9,11.74903267810856
1999,10,15.605411141540309
1999,11,14.38863558562608
1999,12,16.142620737510654
2000,1,30.791891280418625
2000,2,32.89209333725861
2000,3,60.412320289915556
2000,4,139.15487328790897
2000,5,71.65955963262245
2000,6,26.482898770823265
2000,7,11.27065607372615
2000,8,14.326709703614744
2000,9,10.812215857493841
2000,10,13.596583378920393
2000,11,16.664828619190338
2000,12,19.475242484464417
2001,1,13.427746543616964
2001,2,21.77385699824183
2001,3,37.08912480485868
2001,4,41.76377726453519
2001,5,27.335216081602137
2001,6,11.233820826154908
2001,7,8.213041007342365
2001,8,6.451606142896909
2001,9,11.70036000967544
2001,10,7.513385191046692
2001,11,13.960214100930582
2001,12,37.667332101773624
2002,1,54.39840266709262
2002,2,37.1142677947675
2002,3,75.42076439661264
2002,4,134.9434069739638
2002,5,75.74654976058103
2002,6,37.256385296444904
2002,7,16.93705693875779
2002,8,16.82876922134419
2002,9,12.70169043597434
2002,10,16.64556489091554
2002,11,15.177624793759733
2002,12,21.438445569378366
2003,1,23.431582643721303
2003,2,30.854813102900636
2003,3,59.86379312839379
2003,4,131.45670992374232
2003,5,71.94895274004398
2003,6,41.247543279363626
2003,7,13.538692359574027
2003,8,12.829586563254434
2003,9,15.53744805356336
2003,10,17.97843707586722
2003,11,14.810789367552701
2003,12,30.13203038695198
2004,1,45.77579519035763
2004,2,46.118424679977416
2004,3,87.11449594295296
2004,4,71.01738869746303
2004,5,55.16940635742762
2004,6,25.040100011763105
2004,7,13.26982203971731
2004,8,14.65311533510895
2004,9,4.507655250835432
2004,10,17.65010903928486
2004,11,18.710363356795774
2004,12,22.566413253202075
2005,1,19.906791321622176
2005,2,33.223646762996516
2005,3,94.57829056487907
2005,4,81.03956201867167
2005,5,47.67031134814575
2005,6,22.647101524181807
2005,7,11.675366652967334
2005,8,14.252604261533081
2005,9,11.221070973781012
2005,10,15.285580465824378
2005,11,14.942371661946334
2005,12,28.765976494131323
2006,1,22.771433680826174
2006,2,56.48139432342707
2006,3,73.28325186039115
2006,4,78.6614670090035
2006,5,39.71971089858027
2006,6,19.26098575631351
2006,7,13.612665067550275
2006,8,11.201967948437833
2006,9,10.872120276978166
2006,10,12.909638221252829
2006,11,35.41020262107775
2006,12,17.58207662748209
2007,1,13.635164069183018
2007,2,24.095145419293885
2007,3,39.70432222354105
2007,4,32.66436544070653
2007,5,35.14917227731677
2007,6,13.76603041407442
2007,7,10.05316533529945
2007,8,8.744962653684738
2007,9,6.81360832310684
2007,10,7.110974017250994
2007,11,17.81913366894277
2007,12,30.8384993023964
2008,1,23.384517592882155
2008,2,26.1032842389562
2008,3,73.72390545726951
2008,4,58.84714679552738
2008,5,24.040218767011954
2008,6,13.291324728282488
2008,7,8.200733593076627
2008,8,7.4982642909035375
2008,9,7.504145080510171
2008,10,10.621335238368317
2008,11,10.023489800365265
2008,12,22.568726086814294
2009,1,19.781174472681556
2009,2,50.36137002325031
2009,3,75.97047038069857
2009,4,96.45931231090394
2009,5,80.93713895591945
2009,6,27.306163282746116
2009,7,15.024544256572966
2009,8,9.205057222368085
2009,9,15.51210657101495
2009,10,16.469047524253718
2009,11,32.14709326367364
2009,12,39.067435033489666
2010,1,95.89771026178643
2010,2,68.82637947757205
2010,3,83.97900225004537
2010,4,63.37806282134193
2010,5,45.30678258303752
2010,6,20.0359928543592
2010,7,9.104697701392082
2010,8,6.503214012873343
2010,9,13.250340889098963
2010,10,16.743172353820643
2010,11,16.628239622857258
2010,12,34.404008199110194
2011,1,24.99966625760453
2011,2,35.8200295662774
2011,3,73.33550490993619
2011,4,110.80822284108405
2011,5,77.06383185808257
2011,6,34.885074127467135
2011,7,15.116842693630614
2011,8,8.929428823906587
2011,9,12.68630145477668
2011,10,17.848488057760168
2011,11,19.272682584959124
2011,12,18.206300562899777
2012,1,36.61368843612715
2012,2,35.11559263705859
2012,3,66.1582114942218
2012,4,133.75727828405107
2012,5,89.31520864490577
2012,6,29.429533153842712
2012,7,13.079097412787041
2012,8,9.35916770160717
2012,9,12.537449924224312
2012,10,15.451395661471025
2012,11,22.940358183432867
2012,12,49.65740232062037
2013,1,38.886471264983435
2013,2,49.436436102277234
2013,3,53.04412965332856
2013,4,38.40866956637635
2013,5,35.191449455722875
2013,6,15.06225850003635
2013,7,11.467492031321779
2013,8,10.79861172118854
2013,9,10.579076968028934
2013,10,18.746580778675874
2013,11,27.88399804409099
2013,12,15.977496131459947
2014,1,38.02117645986965
2014,2,36.69638264567045
2014,3,30.339352585718494
2014,4,22.137291629771813
2014,5,17.477269428344584
2014,6,8.578077345264756
2014,7,21.86052551367137
2014,8,16.23774597615672
2014,9,6.705394169976886
2014,10,13.741037107503653
2014,11,9.72839547033767
2014,12,15.142242386590123
2015,1,54.66290194177495
2015,2,56.993459242912735
2015,3,77.62348971713666
2015,4,101.26845341667193
2015,5,70.73152992603079
2015,6,26.499695185700798
2015,7,8.409746414601122
2015,8,21.737656535023177
2015,9,16.010081319141584
2015,10,21.314555705654854
2015,11,21.42637448109716
2015,12,17.092460720481935
2016,1,45.49771461222964
2016,2,46.10441848176492
2016,3,44.22952316545379
2016,4,22.290758913850794
2016,5,27.221248476530295
2016,6,24.173743976442143
2016,7,16.450775977994542
2016,8,13.219706350749632
2016,9,4.704793804517339
2016,10,3.4746760020836143
2016,11,21.599913414461405
2016,12,35.163380093193695
2017,1,26.70594949345782
2017,2,21.098574373581137
2017,3,41.0971634001151
2017,4,13.291148198568417
2017,5,33.57378442097278
2017,6,30.22938545578607
2017,7,18.544587034490156
2017,8,24.585133848376152
2017,9,23.860970677878516
2017,10,21.05005893900816
2017,11,26.049295635211863
2017,12,37.90058692544568
2018,1,23.753365429244397
2018,2,28.684726291253845
2018,3,38.115296267727956
2018,4,33.12366770534435
2018,5,23.1460043853514
2018,6,26.04812052487868
2018,7,21.139646766997092
2018,8,31.452782564753406
2018,9,18.546145805858796
2018,10,22.367401091962797
2018,11,11.619220613534328
2018,12,52.1932615611058
2019,1,77.88621799095345
2019,2,58.03969952820825
2019,3,60.509731577789694
2019,4,106.09978536726115
2019,5,71.78289791725655
2019,6,36.99005322313953
2019,7,19.47460563290955
2019,8,21.042763629444153
2019,9,20.663660221311346
2019,10,24.216715695653953
2019,11,18.31754696200048
2019,12,35.88973748843155
2020,1,40.81847506725554
2020,2,51.46259935421926
2020,3,81.4389479501987
2020,4,86.32909623737187
2020,5,51.81990982414398
2020,6,23.621981380522534
2020,7,16.739063195410594
2020,8,20.84534399040081
2020,9,24.570318348251472
2020,10,19.579756647520306
2020,11,24.883296717144074
2020,12,13.658686862096118
2021,1,33.54729776035791
2021,2,50.5665022046588
2021,3,57.122634419368644
2021,4,55.49181151839251
2021,5,26.00066644314798
2021,6,29.940314864812258
2021,7,18.53927463260981
2021,8,15.895710831937746
2021,9,4.792074819675097
2021,10,8.857596249941754
2021,11,8.55923905919984
2021,12,12.077622083633555
2022,1,38.527122277361435
2022,2,55.86137502485099
2022,3,80.49098686784893
2022,4,64.48485253429622
2022,5,38.3471839182586
